ccy,date,rate
JPY,2005-10-25,0.008722197993894459
KRW,2005-10-25,0.0009477774618519572
MYR,2005-10-25,0.26490066225165565
NOK,2005-10-25,0.15457622926746326
NZD,2005-10-25,0.7037792948131466
PLN,2005-10-25,0.30794814153296585
RUB,2005-10-25,0.03511544201562637
SAR,2005-10-25,0.2666382252559727
SEK,2005-10-25,0.12740476493820868
SGD,2005-10-25,0.591961167347422
THB,2005-10-25,0.024482800832415236
TRY,2005-10-25,0.7377351530800443
TWD,2005-10-25,0.02963445894886574
USD,2005-10-25,1.0
ZAR,2005-10-25,0.15102774379653544
AUD,2005-10-26,0.7546030787805614
CAD,2005-10-26,0.8554319931565441
CHF,2005-10-26,0.7802746566791509
CNY,2005-10-26,0.12385588129652335
CZK,2005-10-26,0.04056696388728875
DKK,2005-10-26,0.16189612744463153
EUR,2005-10-26,1.2077783697389453
GBP,2005-10-26,1.7758835020422659
HKD,2005-10-26,0.12896902164100182
HUF,2005-10-26,0.004783745979261504
ILS,2005-10-26,0.2161414429602732
INR,2005-10-26,0.022204951704230046
JPY,2005-10-26,0.008635578583765112
KRW,2005-10-26,0.0009564801530368244
MYR,2005-10-26,0.2649146974674155
NOK,2005-10-26,0.15460729746444032
NZD,2005-10-26,0.7031854299978905
PLN,2005-10-26,0.3035085589413621
RUB,2005-10-26,0.03509695533912433
SAR,2005-10-26,0.26663111585121985
SEK,2005-10-26,0.12705188799105555
SGD,2005-10-26,0.5907372400756143
THB,2005-10-26,0.024405125076266014
TRY,2005-10-26,0.7380073800738007
TWD,2005-10-26,0.029708853238265005
USD,2005-10-26,1.0
ZAR,2005-10-26,0.14947683109118085
AUD,2005-10-27,0.7576905591756327
CAD,2005-10-27,0.8554319931565441
CHF,2005-10-27,0.784744565643883
CNY,2005-10-27,0.12390806021931727
CZK,2005-10-27,0.04090665510371882
DKK,2005-10-27,0.16278426201754814
EUR,2005-10-27,1.2145532370251468
GBP,2005-10-27,1.7834849295523454
HKD,2005-10-27,0.12895571660691718
HUF,2005-10-27,0.004830383498637108
ILS,2005-10-27,0.21654395842356
INR,2005-10-27,0.02218770800976259
JPY,2005-10-27,0.008680555555555556
KRW,2005-10-27,0.0009584970765839164
MYR,2005-10-27,0.2649146974674155
NOK,2005-10-27,0.15550890288469013
NZD,2005-10-27,0.7065140596297866
PLN,2005-10-27,0.3043769404029951
RUB,2005-10-27,0.03517646272526126
SAR,2005-10-27,0.2666382252559727
SEK,2005-10-27,0.12769108971575965
SGD,2005-10-27,0.5927330922885424
THB,2005-10-27,0.02452783909737552
TRY,2005-10-27,0.7401924500370096
TWD,2005-10-27,0.02970223509319076
USD,2005-10-27,1.0
ZAR,2005-10-27,0.1492247772820199
AUD,2005-10-28,0.7505817008181341
CAD,2005-10-28,0.8498342823149485
CHF,2005-10-28,0.7829627309740057
CNY,2005-10-28,0.12391573729863692
CZK,2005-10-28,0.0407436531574294
DKK,2005-10-28,0.16212973621491916
EUR,2005-10-28,1.2098436389481166
GBP,2005-10-28,1.7768301350390905
HKD,2005-10-28,0.12897234832851834
HUF,2005-10-28,0.004827035259079049
ILS,2005-10-28,0.21499365768709824
INR,2005-10-28,0.02218524681087077
JPY,2005-10-28,0.008648274669203494
KRW,2005-10-28,0.0009592326139088727
MYR,2005-10-28,0.2649217156330304
NOK,2005-10-28,0.15497628862783994
NZD,2005-10-28,0.7046223224351748
PLN,2005-10-28,0.3028100775193798
RUB,2005-10-28,0.035143208574942894
SAR,2005-10-28,0.2666382252559727
SEK,2005-10-28,0.12694866196110294
SGD,2005-10-28,0.5907372400756143
THB,2005-10-28,0.024539877300613498
TRY,2005-10-28,0.7399186089530152
TWD,2005-10-28,0.029757033818868937
USD,2005-10-28,1.0
ZAR,2005-10-28,0.1488095238095238
AUD,2005-10-31,0.7472166180975864
CAD,2005-10-31,0.847673137238281
CHF,2005-10-31,0.7745933384972892
CNY,2005-10-31,0.12394952775229927
CZK,2005-10-31,0.04038772213247173
DKK,2005-10-31,0.16052137342087094
EUR,2005-10-31,1.1978761061946903
GBP,2005-10-31,1.7699115044247788
HKD,2005-10-31,0.12899397598132167
HUF,2005-10-31,0.004792558881378414
ILS,2005-10-31,0.21527134953609026
INR,2005-10-31,0.022170491076377342
JPY,2005-10-31,0.008590327291469805
KRW,2005-10-31,0.0009613535858488752
MYR,2005-10-31,0.26490066225165565
NOK,2005-10-31,0.15384615384615385
NZD,2005-10-31,0.6998880179171332
PLN,2005-10-31,0.30204180258547786
RUB,2005-10-31,0.0350140056022409
SAR,2005-10-31,0.2666382252559727
SEK,2005-10-31,0.12557292647705154
SGD,2005-10-31,0.5897269564191779
THB,2005-10-31,0.02451280794214977
TRY,2005-10-31,0.7401924500370096
TWD,2005-10-31,0.029804926754392506
USD,2005-10-31,1.0
ZAR,2005-10-31,0.14927823971099732
AUD,2005-11-01,0.7446016381236038
CAD,2005-11-01,0.8474576271186441
CHF,2005-11-01,0.7747733787867049
CNY,2005-11-01,0.12373021863129632
CZK,2005-11-01,0.04045471095109025
DKK,2005-11-01,0.1606916167183558
EUR,2005-11-01,1.1992249427514532
GBP,2005-11-01,1.7614937466971994
HKD,2005-11-01,0.12899730395634731
HUF,2005-11-01,0.004786079019121822
ILS,2005-11-01,0.2151555574680494
INR,2005-11-01,0.02218524681087077
JPY,2005-11-01,0.00857118368046627
KRW,2005-11-01,0.0009592326139088727
MYR,2005-11-01,0.26490066225165565
NOK,2005-11-01,0.15411882561454882
NZD,2005-11-01,0.6981777560566921
PLN,2005-11-01,0.30175015087507545
RUB,2005-11-01,0.03487504272192733
SAR,2005-11-01,0.2666382252559727
SEK,2005-11-01,0.12502813132954915
SGD,2005-11-01,0.5897269564191779
THB,2005-11-01,0.024488796375658137
TRY,2005-11-01,0.7405761682589054
TWD,2005-11-01,0.02977830055238748
USD,2005-11-01,1.0
ZAR,2005-11-01,0.14973422175638246
AUD,2005-11-02,0.7412898443291327
CAD,2005-11-02,0.8469551960701278
CHF,2005-11-02,0.7821054278116691
CNY,2005-11-02,0.12391880839673845
CZK,2005-11-02,0.040846502926651936
DKK,2005-11-02,0.16162399793121282
EUR,2005-11-02,1.206388642413487
GBP,2005-11-02,1.7746228926353151
HKD,2005-11-02,0.12898399308645794
HUF,2005-11-02,0.004831590095626831
ILS,2005-11-02,0.2149613069647464
INR,2005-11-02,0.02211900022119
JPY,2005-11-02,0.008560178051703476
KRW,2005-11-02,0.0009620009620009619
MYR,2005-11-02,0.2647954455183371
NOK,2005-11-02,0.15475085112968118
NZD,2005-11-02,0.6923769300006924
PLN,2005-11-02,0.30458089668615984
RUB,2005-11-02,0.035035473416834544
SAR,2005-11-02,0.2666382252559727
SEK,2005-11-02,0.1252614833464858
SGD,2005-11-02,0.5901097604154373
THB,2005-11-02,0.024464831804281342
TRY,2005-11-02,0.742170105388155
TWD,2005-11-02,0.029773424241522014
USD,2005-11-02,1.0
ZAR,2005-11-02,0.15040308025508364
AUD,2005-11-03,0.7412898443291327
CAD,2005-11-03,0.8479606546256253
CHF,2005-11-03,0.7781495603454984
CNY,2005-11-03,0.12397104036497075
CZK,2005-11-03,0.04089594843838821
DKK,2005-11-03,0.16083893588960016
EUR,2005-11-03,1.2004972473805715
GBP,2005-11-03,1.7758835020422659
HKD,2005-11-03,0.12898232942086935
HUF,2005-11-03,0.004832542729342813
ILS,2005-11-03,0.21453242657627705
INR,2005-11-03,0.022092124157737758
JPY,2005-11-03,0.00853898044573478
KRW,2005-11-03,0.0009583133684714902
MYR,2005-11-03,0.2647954455183371
NOK,2005-11-03,0.15386035634058529
NZD,2005-11-03,0.6911805363560962
PLN,2005-11-03,0.3027000847560237
RUB,2005-11-03,0.034991462083251684
SAR,2005-11-03,0.2666382252559727
SEK,2005-11-03,0.12496719611102085
SGD,2005-11-03,0.5893446487505893
THB,2005-11-03,0.024494794856093082
TRY,2005-11-03,0.7416196974191634
TWD,2005-11-03,0.029742430551424663
USD,2005-11-03,1.0
ZAR,2005-11-03,0.15122873345935728
AUD,2005-11-04,0.7319036814755178
CAD,2005-11-04,0.8496176720475785
CHF,2005-11-04,0.765345170671973
CNY,2005-11-04,0.12371338083927158
CZK,2005-11-04,0.04042086201530334
DKK,2005-11-04,0.15826791592808306
EUR,2005-11-04,1.1812773403324586
GBP,2005-11-04,1.7497812773403325
HKD,2005-11-04,0.12898066579819684
HUF,2005-11-04,0.004745129598979607
ILS,2005-11-04,0.2142795920116568
INR,2005-11-04,0.021980437410704483
JPY,2005-11-04,0.008456659619450317
KRW,2005-11-04,0.000954653937947494
MYR,2005-11-04,0.2647954455183371
NOK,2005-11-04,0.15156567340628693
NZD,2005-11-04,0.6826870562534134
PLN,2005-11-04,0.2950113579372806
RUB,2005-11-04,0.034991462083251684
SAR,2005-11-04,0.2666453350398635
SEK,2005-11-04,0.12321947853516685
SGD,2005-11-04,0.5878894767783657
THB,2005-11-04,0.024372410431391663
TRY,2005-11-04,0.7396449704142012
TWD,2005-11-04,0.029712384121701924
USD,2005-11-04,1.0
ZAR,2005-11-04,0.14944779041441872
AUD,2005-11-07,0.732922896511287
CAD,2005-11-07,0.8401949252226517
CHF,2005-11-07,0.7644675483525724
CNY,2005-11-07,0.12392495104964435
CZK,2005-11-07,0.04026915905915137
DKK,2005-11-07,0.15799036258788213
EUR,2005-11-07,1.1792682926829268
GBP,2005-11-07,1.7421602787456447
HKD,2005-11-07,0.1289889843407373
HUF,2005-11-07,0.004725873353210357
ILS,2005-11-07,0.21340162185232608
INR,2005-11-07,0.021812629512487733
JPY,2005-11-07,0.008490405841399219
KRW,2005-11-07,0.0009528346831824678
MYR,2005-11-07,0.2647744122008049
NOK,2005-11-07,0.15131568992388822
NZD,2005-11-07,0.6799020940984498
PLN,2005-11-07,0.29304029304029305
RUB,2005-11-07,0.03474333362286112
SAR,2005-11-07,0.26663111585121985
SEK,2005-11-07,0.12280787935353933
SGD,2005-11-07,0.5882352941176471
THB,2005-11-07,0.02438132390588809
TRY,2005-11-07,0.7352941176470588
TWD,2005-11-07,0.029684160531940163
USD,2005-11-07,1.0
ZAR,2005-11-07,0.14853102813177674
AUD,2005-11-08,0.7337833871441151
CAD,2005-11-08,0.8398421096833795
CHF,2005-11-08,0.7628346937218705
CNY,2005-11-08,0.12368124868588673
CZK,2005-11-08,0.04015644952735858
DKK,2005-11-08,0.15758951084215833
EUR,2005-11-08,1.1759693966266738
GBP,2005-11-08,1.7388280299078422
HKD,2005-11-08,0.12896236878078976
HUF,2005-11-08,0.004727090863195154
ILS,2005-11-08,0.21344717182497333
INR,2005-11-08,0.02185792349726776
JPY,2005-11-08,0.008527330092947899
KRW,2005-11-08,0.0009537889265105633
MYR,2005-11-08,0.2647043252686749
NOK,2005-11-08,0.15109620295241982
NZD,2005-11-08,0.6816167950378297
PLN,2005-11-08,0.29361677138998177
RUB,2005-11-08,0.034641032302762616
SAR,2005-11-08,0.2666453350398635
SEK,2005-11-08,0.12325137117150428
SGD,2005-11-08,0.5874405216471833
THB,2005-11-08,0.02429838415745353
TRY,2005-11-08,0.733998825601879
TWD,2005-11-08,0.02966038855109002
USD,2005-11-08,1.0
ZAR,2005-11-08,0.1484185998189293
AUD,2005-11-09,0.7336757153338224
CAD,2005-11-09,0.8417508417508418
CHF,2005-11-09,0.7612087995737231
CNY,2005-11-09,0.12369654762935565
CZK,2005-11-09,0.03996179652252446
DKK,2005-11-09,0.1572722697533971
EUR,2005-11-09,1.1733379742429515
GBP,2005-11-09,1.7403411068569439
HKD,2005-11-09,0.12893243940175347
HUF,2005-11-09,0.004698674034187552
ILS,2005-11-09,0.21306061574517948
INR,2005-11-09,0.021855534914217024
JPY,2005-11-09,0.008517162081594414
KRW,2005-11-09,0.0009555661729574774
MYR,2005-11-09,0.2647043252686749
NOK,2005-11-09,0.15159554309103312
NZD,2005-11-09,0.6831067695880866
PLN,2005-11-09,0.29245752054514085
RUB,2005-11-09,0.03466504896438166
SAR,2005-11-09,0.2666453350398635
SEK,2005-11-09,0.1223121896328188
SGD,2005-11-09,0.5876821814762576
THB,2005-11-09,0.024274790629930817
TRY,2005-11-09,0.7347538574577517
TWD,2005-11-09,0.029722098380145636
USD,2005-11-09,1.0
ZAR,2005-11-09,0.1484604649781763
AUD,2005-11-10,0.7312079555425564
CAD,2005-11-10,0.8419634587858887
CHF,2005-11-10,0.7636502481863306
CNY,2005-11-10,0.12372868773353787
CZK,2005-11-10,0.04007566285146357
DKK,2005-11-10,0.15749271596188674
EUR,2005-11-10,1.174703004891684
GBP,2005-11-10,1.7470300489168409
HKD,2005-11-10,0.12893576420227446
HUF,2005-11-10,0.004684933534847943
ILS,2005-11-10,0.21249468763280915
INR,2005-11-10,0.021879444262115744
JPY,2005-11-10,0.00847673137238281
KRW,2005-11-10,0.0009555661729574774
MYR,2005-11-10,0.2646903123345686
NOK,2005-11-10,0.15181878909333818
NZD,2005-11-10,0.6867188572998215
PLN,2005-11-10,0.2932379332590464
RUB,2005-11-10,0.034677069787602946
SAR,2005-11-10,0.2666524452029225
SEK,2005-11-10,0.12204945443893865
SGD,2005-11-10,0.5874405216471833
THB,2005-11-10,0.024289531212047605
TRY,2005-11-10,0.7334066740007334
TWD,2005-11-10,0.029757476565987206
USD,2005-11-10,1.0
ZAR,2005-11-10,0.1481371750240723
AUD,2005-11-11,0.7326007326007326
CAD,2005-11-11,0.8397010664203544
CHF,2005-11-11,0.7609770945894528
CNY,2005-11-11,0.1237271568736622
CZK,2005-11-11,0.0400136046255727
DKK,2005-11-11,0.15698094251357886
EUR,2005-11-11,1.170757180156658
GBP,2005-11-11,1.7406440382941688
HKD,2005-11-11,0.1289274525224656
HUF,2005-11-11,0.004657991623067865
ILS,2005-11-11,0.21186440677966106
INR,2005-11-11,0.021951487213258698
JPY,2005-11-11,0.00847673137238281
KRW,2005-11-11,0.0009603380389897245
MYR,2005-11-11,0.2646412787466589
NOK,2005-11-11,0.1510642476245147
NZD,2005-11-11,0.686483146838745
PLN,2005-11-11,0.29037690922817816
RUB,2005-11-11,0.034641632313714615
SAR,2005-11-11,0.2666453350398635
SEK,2005-11-11,0.12248597535582174
SGD,2005-11-11,0.5868889019308645
THB,2005-11-11,0.024310198128114743
TRY,2005-11-11,0.7326007326007326
TWD,2005-11-11,0.029875270744641125
USD,2005-11-11,1.0
ZAR,2005-11-11,0.14792899408284024
AUD,2005-11-14,0.7282260413632392
CAD,2005-11-14,0.8358408559010365
CHF,2005-11-14,0.7596475235490732
CNY,2005-11-14,0.12379301807378065
CZK,2005-11-14,0.039969303574854516
DKK,2005-11-14,0.156897200953935
EUR,2005-11-14,1.1699982617764646
GBP,2005-11-14,1.7382235355466713
HKD,2005-11-14,0.128915817970865
HUF,2005-11-14,0.004677032217268726
ILS,2005-11-14,0.2110149820637265
INR,2005-11-14,0.02184121437151906
JPY,2005-11-14,0.008415383320710259
KRW,2005-11-14,0.0009638554216867467
MYR,2005-11-14,0.2646552864893476
NOK,2005-11-14,0.15042117930204574
NZD,2005-11-14,0.6818956699624957
PLN,2005-11-14,0.29236346626125603
RUB,2005-11-14,0.034647273432817205
SAR,2005-11-14,0.2666453350398635
SEK,2005-11-14,0.12229872687025327
SGD,2005-11-14,0.5862351975612616
THB,2005-11-14,0.024292481476982875
TRY,2005-11-14,0.7331378299120234
TWD,2005-11-14,0.029946844351276487
USD,2005-11-14,1.0
ZAR,2005-11-14,0.14789617688382756
AUD,2005-11-15,0.7296074711805048
CAD,2005-11-15,0.8364700961940611
CHF,2005-11-15,0.7562008469449486
CNY,2005-11-15,0.12376237623762375
CZK,2005-11-15,0.03982603985790069
DKK,2005-11-15,0.1565386180770796
EUR,2005-11-15,1.167215387281234
GBP,2005-11-15,1.7328019407381738
HKD,2005-11-15,0.1289274525224656
HUF,2005-11-15,0.004661554805666772
ILS,2005-11-15,0.21121554546414611
INR,2005-11-15,0.021910604732690624
JPY,2005-11-15,0.008392077878482713
KRW,2005-11-15,0.0009657170449058426
MYR,2005-11-15,0.2645502645502646
NOK,2005-11-15,0.14972077076252788
NZD,2005-11-15,0.6829201666325206
PLN,2005-11-15,0.2924831822170225
RUB,2005-11-15,0.03461632990747055
SAR,2005-11-15,0.2666453350398635
SEK,2005-11-15,0.12130622543548936
SGD,2005-11-15,0.5872680291284942
THB,2005-11-15,0.02432794063982484
TRY,2005-11-15,0.7344840249724569
TWD,2005-11-15,0.029841392996225062
USD,2005-11-15,1.0
ZAR,2005-11-15,0.14725371815638344
